sentence	spoiler	verb	page	trope	genre
"Because of  Never Say ""Die"" , a horrifying scene became arguably EVEN WORSE."	True	True 0	AaronStone	BigBad	Action Adventure Family
The first episode deals with   one of the season 1 bad guys getting killed by an  Eldritch Abomination  with telekinesis!	True	True 0	AaronStone	DarkerAndEdgier	Action Adventure Family
Sure it's off-screen and its costume looks fake and silly, but still!	True	True 0	AaronStone	DarkerAndEdgier	Action Adventure Family
"The end of ""Mutant Rain"" has him reveal his face to Aaron and the rest of his team."	False	True 0	AaronStone	FaceFramedInShadow	Action Adventure Family
The Laws of Robotics, established by  Isaac Asimov , are programmed into STAN, which is often an important plot point.	False	True 0	AaronStone	ShoutOut	Action Adventure Family
The Season 2 premiere provides an inadvertent example.	False	True 0	AaronStone	VillainousRescue	Action Adventure Family
The show grew out of a sketch on French   Saunders, which featured an obnoxious, partying mother and her sober, responsible daughter.	False	True 0	AbsolutelyFabulous	JoannaLumley	Comedy
Edina's treatment of Saffron constitutes full-on abuse at times and it's always  Played for Laughs .	False	True 0	AbsolutelyFabulous	BlackComedy	Comedy
" (2001-2009) with  Bumbling Dad  ( ""Jim"" Belushi ) and long suffering  hot wife  (Courtney Thorne-Smith)."	False	True 0	AccordingToJim	DomCom	Comedy
Jim Belushi wrote the theme song and he regularly performs in a band on the show showing off his harmonica skills.	False	True 0	AccordingToJim	TheCastShowOff	Comedy
"After getting turned down to take Cheryl to a baby shower in Jim's place, Andy quips""I guess it's just me and my palm tonight."	False	True 0	AccordingToJim	ADateWithRosiePalms	Comedy
For example in one episode Jim explains that men and women's brains are wired so they won't remember certain things, Cheryl gets mad at him, only to later find herself trapped in the garage because none of the girls can remember the key code for the door, which her toddler son punches in effortlessly.	False	True 0	AccordingToJim	DoubleStandard	Comedy
Too bad for them a woman ends up the winner.	False	True 0	AccordingToJim	EatingContest	Comedy
Andy has been a victim of this.	False	True 0	AccordingToJim	GroinAttack	Comedy
Cheryl, Andy, and Dana make Jim think his dead friend came back to life, because Jim stole back his playing card that said friend stole the day before he died.	False	True 0	AccordingToJim	PracticalJoke	Comedy
It's like Christmas time for the boozers!	False	True 0	AceOfCakes	DocuSoap	Reality-TV
